id,is_genuine,control_type,setup_key,Usage
hv_00000,1,,3b3e7461d0,Public
hv_00001,1,,ae178ae71c,Private
hv_00002,1,,d85b359a94,Public
hv_00003,0,shuffled,5536e563f1,Public
hv_00004,0,shuffled,c106362581,Private
hv_00006,1,,1899051562,Private
hv_00009,1,,70eb47f31e,Public
hv_00010,1,,ebbec1cabd,Public
hv_00012,1,,ffc0257bb1,Public
hv_00013,1,,c106362581,Private
hv_00016,1,,01d99ab738,Private
hv_00020,1,,91f36ea2c2,Private
hv_00021,0,boring,72126f8f3f,Public
hv_00022,0,shuffled,72126f8f3f,Public
hv_00024,0,shuffled,19ba55fced,Private
hv_00026,0,shuffled,ebbec1cabd,Public
hv_00027,0,shuffled,ee9cecfcc3,Public
hv_00029,0,shuffled,2dc2923b20,Private
hv_00030,0,shuffled,3f47a8a7ca,Public
hv_00032,1,,0d9f5c1701,Public
hv_00034,1,,8df43b4960,Private
hv_00035,0,boring,3b3e7461d0,Private
hv_00036,0,shuffled,8e68789183,Public
hv_00038,0,boring,e127f86660,Private
hv_00039,0,boring,bfb150b96a,Public
hv_00040,0,shuffled,6bc08a78bb,Private
hv_00041,0,shuffled,bed339a192,Public
hv_00042,0,shuffled,144353eace,Public
hv_00043,0,shuffled,a716368663,Public
hv_00044,0,shuffled,53f949e0b6,Public
hv_00045,0,shuffled,7b3773b3b8,Private
hv_00048,0,shuffled,57c3483302,Private
hv_00050,0,shuffled,0d9f5c1701,Public
hv_00051,0,boring,c826b0c7b9,Public
hv_00053,0,shuffled,78b6144823,Private
hv_00054,0,boring,d85b359a94,Private
hv_00056,0,shuffled,fa14c57304,Private
hv_00057,0,boring,ffc0257bb1,Private
hv_00058,0,boring,cde6378787,Public
hv_00060,1,,78b6144823,Public
hv_00062,1,,ee9cecfcc3,Private
hv_00063,0,boring,172cfdb3af,Public
hv_00064,1,,1a7f96db96,Public
hv_00065,1,,3e827df3ee,Public
hv_00067,0,boring,e31e8f6741,Public
hv_00069,1,,e49188863c,Private
hv_00071,0,shuffled,d85b359a94,Public
hv_00072,0,shuffled,14c2d7deb5,Private
hv_00073,1,,9a4567ab91,Public
hv_00074,1,,de8903b42d,Public
hv_00075,0,shuffled,3b65bd3ae6,Public
hv_00076,0,shuffled,cde6378787,Private
hv_00077,0,boring,f77a3431e5,Public
hv_00079,1,,c826b0c7b9,Public
hv_00083,0,shuffled,c6bab21c69,Public
hv_00084,0,shuffled,1a7f96db96,Public
hv_00085,0,shuffled,63c5b5cfbe,Private
hv_00086,0,shuffled,9db141fc91,Public
hv_00087,1,,57c3483302,Public
hv_00090,1,,ffc876f7ae,Public
hv_00092,0,shuffled,01d99ab738,Public
hv_00093,1,,a51ae91013,Private
hv_00096,0,shuffled,ae178ae71c,Public
hv_00098,0,shuffled,f77a3431e5,Public
hv_00101,0,boring,e49188863c,Private
hv_00102,0,shuffled,9a4567ab91,Private
hv_00103,1,,d1c5a7acab,Public
hv_00105,1,,cd0e412413,Public
hv_00106,1,,5bd9785678,Public
hv_00107,0,shuffled,af89df68f9,Public
hv_00108,0,shuffled,f5ceb3e33a,Public
hv_00109,1,,6bc08a78bb,Public
hv_00110,0,shuffled,ca588b2767,Public
hv_00111,1,,e31e8f6741,Public
hv_00112,0,shuffled,a51ae91013,Private
hv_00114,0,boring,3e827df3ee,Public
hv_00115,1,,3f47a8a7ca,Public
hv_00116,0,shuffled,048ee2c401,Public
hv_00117,1,,14c2d7deb5,Public
hv_00118,1,,81ef4e1999,Private
hv_00119,1,,c3f6efee39,Private
hv_00120,0,shuffled,2c620568f4,Private
hv_00122,0,shuffled,bfb150b96a,Private
hv_00123,1,,f5ceb3e33a,Public
hv_00124,0,boring,4f4c6646ef,Public
hv_00125,0,shuffled,1899051562,Public
hv_00128,1,,9e7e67acde,Public
hv_00130,0,boring,d8bda94b0c,Private
hv_00131,1,,9eecd44f1e,Private
hv_00132,1,,fa14c57304,Private
hv_00134,0,shuffled,ffc876f7ae,Private
hv_00136,1,,19ba55fced,Public
hv_00138,0,shuffled,0d332acdf9,Public
hv_00139,1,,bfb150b96a,Public
hv_00140,1,,e127f86660,Private
hv_00141,0,shuffled,e49188863c,Private
hv_00143,1,,172cfdb3af,Public
hv_00144,1,,144353eace,Private
hv_00145,0,shuffled,5f17e41906,Private
hv_00146,0,boring,8f5272ba4f,Public
hv_00148,1,,975227bf9e,Private
hv_00151,0,boring,70eb47f31e,Public
hv_00152,0,shuffled,e31e8f6741,Public
hv_00155,0,shuffled,c826b0c7b9,Public
hv_00156,0,shuffled,93536f3807,Public
hv_00157,1,,5d59fe5178,Private
hv_00158,1,,e273d55429,Public
hv_00159,0,shuffled,de8903b42d,Public
hv_00160,1,,d8bda94b0c,Private
hv_00161,1,,ca588b2767,Private
hv_00163,0,shuffled,172cfdb3af,Public
hv_00164,1,,38e5b8345a,Public
hv_00165,1,,5f17e41906,Public
hv_00167,1,,6b72b3f89f,Public
hv_00170,0,shuffled,8df43b4960,Private
hv_00171,0,shuffled,d8bda94b0c,Public
hv_00172,0,shuffled,368bbdc820,Private
hv_00173,0,boring,9eecd44f1e,Public
hv_00174,0,shuffled,e273d55429,Private
hv_00175,1,,9db141fc91,Private
hv_00178,1,,93536f3807,Public
hv_00179,0,shuffled,2d23fd488a,Private
hv_00181,0,boring,d1c5a7acab,Public
hv_00182,1,,4f4c6646ef,Private
hv_00183,0,boring,78b6144823,Private
hv_00184,0,shuffled,ffc0257bb1,Public
hv_00185,1,,2dc2923b20,Public
hv_00188,1,,048ee2c401,Public
hv_00189,0,shuffled,9e7e67acde,Private
hv_00190,0,shuffled,91f36ea2c2,Private
hv_00191,1,,8e68789183,Private
hv_00193,0,boring,63c5b5cfbe,Private
hv_00195,1,,bed339a192,Public
hv_00196,1,,cde6378787,Public
hv_00197,0,shuffled,c3f6efee39,Private
hv_00198,1,,63c5b5cfbe,Public
hv_00199,1,,b83e5c5994,Private
hv_00200,1,,af89df68f9,Private
hv_00201,0,boring,bed339a192,Private
hv_00202,0,boring,3f47a8a7ca,Public
hv_00203,1,,4aaac16621,Public
hv_00204,1,,2d23fd488a,Public
hv_00205,0,shuffled,5d59fe5178,Private
hv_00206,1,,368bbdc820,Public
hv_00208,0,shuffled,d1c5a7acab,Private
hv_00209,0,shuffled,f78ce6529e,Public
hv_00212,1,,c6bab21c69,Public
hv_00216,0,shuffled,4aaac16621,Private
hv_00217,0,boring,cd0e412413,Public
hv_00218,0,shuffled,e127f86660,Public
hv_00220,1,,f78ce6529e,Public
hv_00221,1,,f77a3431e5,Private
hv_00224,0,shuffled,975227bf9e,Public
hv_00225,1,,f8370c1e34,Public
hv_00226,1,,a716368663,Public
hv_00227,0,shuffled,70eb47f31e,Public
hv_00228,0,shuffled,9eecd44f1e,Public
hv_00229,1,,2c620568f4,Public
hv_00230,0,shuffled,f69ed80953,Public
hv_00231,0,shuffled,4f4c6646ef,Public
hv_00233,0,shuffled,8f5272ba4f,Public
hv_00234,1,,7b3773b3b8,Public
hv_00235,0,shuffled,b83e5c5994,Private
hv_00239,0,boring,f69ed80953,Public
hv_00241,0,shuffled,cd0e412413,Private
hv_00242,0,boring,8df43b4960,Public
hv_00243,1,,72126f8f3f,Private
hv_00246,1,,8f5272ba4f,Private
hv_00248,0,boring,6bc08a78bb,Private
hv_00249,1,,5536e563f1,Private
hv_00250,1,,4e277b6e9a,Public
hv_00251,0,shuffled,4e277b6e9a,Public
hv_00254,0,shuffled,6b72b3f89f,Public
hv_00255,0,shuffled,5bd9785678,Public
hv_00256,0,shuffled,38e5b8345a,Public
hv_00257,0,shuffled,3b3e7461d0,Private
hv_00258,1,,0d332acdf9,Public
hv_00259,1,,53f949e0b6,Private
hv_00260,0,boring,91f36ea2c2,Public
hv_00261,1,,3b65bd3ae6,Public
hv_00262,0,boring,c3f6efee39,Public
hv_00264,1,,f69ed80953,Public
hv_00268,0,boring,2d23fd488a,Private
hv_00269,0,shuffled,f8370c1e34,Public
hv_00271,0,shuffled,3e827df3ee,Private
hv_00272,0,shuffled,81ef4e1999,Private
