id,is_genuine,Usage
hv_00000,1,Private
hv_00002,0,Public
hv_00003,0,Private
hv_00007,1,Public
hv_00009,1,Public
hv_00010,0,Public
hv_00011,1,Public
hv_00012,1,Private
hv_00013,1,Public
hv_00014,0,Public
hv_00016,0,Private
hv_00017,0,Public
hv_00018,1,Public
hv_00019,1,Private
hv_00023,1,Public
hv_00024,0,Private
hv_00025,0,Private
hv_00026,0,Public
hv_00027,0,Private
hv_00028,0,Private
hv_00029,1,Private
hv_00033,0,Private
hv_00034,1,Private
hv_00036,1,Private
hv_00039,0,Private
hv_00041,0,Private
hv_00043,0,Public
hv_00044,1,Public
hv_00045,0,Public
hv_00046,0,Public
hv_00048,0,Public
hv_00049,1,Private
hv_00050,0,Public
hv_00052,1,Public
hv_00053,0,Public
hv_00054,0,Public
hv_00055,1,Public
hv_00056,0,Private
hv_00057,1,Public
hv_00058,1,Private
hv_00060,1,Public
hv_00061,0,Public
hv_00062,0,Private
hv_00063,1,Private
hv_00065,1,Public
hv_00066,0,Public
hv_00068,0,Private
hv_00069,0,Public
hv_00071,0,Public
hv_00072,0,Public
hv_00073,0,Public
hv_00074,1,Public
hv_00075,1,Public
hv_00076,1,Public
hv_00077,0,Public
hv_00078,0,Private
hv_00079,0,Private
hv_00080,0,Private
hv_00082,1,Private
hv_00083,0,Private
hv_00085,0,Public
hv_00086,1,Public
hv_00087,1,Public
hv_00089,0,Private
hv_00092,1,Public
hv_00093,0,Public
hv_00094,0,Public
hv_00095,1,Public
hv_00096,0,Public
hv_00098,0,Private
hv_00099,1,Private
hv_00100,1,Private
hv_00101,1,Public
hv_00102,0,Public
hv_00103,0,Public
hv_00105,0,Public
hv_00106,0,Public
hv_00107,1,Private
hv_00108,1,Public
hv_00109,1,Public
hv_00110,0,Public
hv_00111,0,Public
hv_00113,0,Public
hv_00114,1,Public
hv_00116,0,Public
hv_00117,1,Private
hv_00118,1,Private
hv_00121,0,Private
hv_00123,1,Private
hv_00124,0,Public
hv_00126,0,Public
hv_00127,0,Public
hv_00128,0,Private
hv_00129,0,Public
hv_00130,0,Private
hv_00131,0,Private
hv_00133,1,Private
hv_00134,0,Public
hv_00136,1,Private
hv_00137,1,Public
hv_00138,0,Public
hv_00139,1,Public
hv_00142,0,Public
hv_00143,1,Private
hv_00145,1,Private
hv_00146,1,Public
hv_00147,0,Public
hv_00148,1,Public
hv_00149,1,Private
hv_00150,0,Private
hv_00151,0,Private
hv_00153,1,Public
hv_00155,0,Private
hv_00157,1,Public
hv_00160,0,Private
hv_00161,1,Public
hv_00162,1,Private
hv_00163,1,Public
hv_00166,0,Public
hv_00167,0,Public
hv_00170,1,Public
hv_00171,0,Public
hv_00175,0,Private
hv_00179,0,Public
hv_00183,0,Private
hv_00184,1,Public
hv_00185,0,Private
hv_00187,1,Public
hv_00188,1,Public
hv_00189,0,Private
hv_00192,0,Public
hv_00194,0,Private
hv_00197,1,Private
hv_00199,0,Private
hv_00200,1,Public
hv_00201,0,Public
hv_00202,0,Public
hv_00205,0,Private
hv_00206,0,Public
hv_00208,1,Public
hv_00209,1,Public
hv_00210,1,Private
hv_00211,1,Public
hv_00214,0,Public
hv_00215,0,Private
hv_00216,1,Private
hv_00217,0,Private
hv_00218,0,Public
hv_00219,1,Private
hv_00220,0,Private
hv_00221,0,Private
hv_00222,0,Public
hv_00223,1,Public
hv_00224,1,Public
hv_00225,0,Public
hv_00229,1,Public
hv_00230,1,Public
hv_00231,0,Private
hv_00232,0,Public
hv_00234,1,Private
hv_00236,0,Private
hv_00237,0,Public
hv_00238,1,Public
hv_00239,0,Public
hv_00240,0,Public
hv_00242,1,Public
hv_00243,1,Private
hv_00246,0,Public
hv_00247,0,Public
hv_00250,0,Public
hv_00251,1,Public
hv_00252,0,Private
hv_00253,1,Public
hv_00254,1,Public
hv_00255,1,Public
hv_00257,0,Public
hv_00258,0,Public
hv_00259,0,Private
hv_00260,0,Private
hv_00262,1,Public
hv_00264,0,Public
hv_00265,1,Private
hv_00266,1,Public
hv_00267,1,Public
hv_00268,0,Private
hv_00272,1,Private
hv_00275,1,Public
hv_00276,0,Public
hv_00277,0,Public
hv_00278,0,Public
hv_00279,0,Public
hv_00281,0,Public
hv_00282,0,Private
hv_00283,1,Public
hv_00284,0,Public
hv_00286,1,Private
hv_00287,0,Private
hv_00288,0,Private
hv_00290,0,Public
hv_00292,1,Public
hv_00293,0,Public
hv_00294,0,Public
hv_00295,0,Private
hv_00298,1,Private
hv_00299,1,Public
hv_00300,1,Private
hv_00301,0,Private
hv_00302,1,Private
hv_00305,0,Public
hv_00306,0,Public
hv_00307,0,Public
hv_00308,1,Private
hv_00311,1,Public
hv_00313,1,Public
hv_00315,0,Public
hv_00316,1,Private
hv_00317,1,Public
hv_00318,0,Public
hv_00319,0,Public
hv_00320,1,Private
hv_00321,0,Public
hv_00324,1,Public
hv_00325,0,Private
hv_00327,0,Public
hv_00329,1,Private
hv_00330,0,Public
hv_00331,1,Public
hv_00332,0,Public
hv_00334,1,Public
hv_00335,0,Private
hv_00336,1,Private
hv_00339,0,Private
hv_00340,0,Private
hv_00344,0,Private
hv_00345,0,Private
hv_00346,0,Public
hv_00347,1,Public
hv_00348,0,Public
hv_00349,1,Public
hv_00351,0,Public
hv_00352,0,Public
hv_00353,0,Private
hv_00355,0,Public
hv_00356,0,Public
hv_00357,1,Private
hv_00358,0,Public
hv_00361,0,Private
hv_00363,0,Public
hv_00364,0,Public
hv_00365,1,Public
hv_00366,0,Private
hv_00368,1,Private
hv_00369,1,Public
hv_00371,0,Private
hv_00372,0,Public
hv_00374,0,Public
hv_00377,1,Public
hv_00379,0,Private
hv_00380,1,Public
hv_00381,0,Public
hv_00382,1,Public
hv_00383,1,Public
hv_00385,1,Public
hv_00386,0,Private
hv_00387,0,Private
hv_00388,0,Public
hv_00389,0,Public
hv_00391,1,Public
hv_00392,0,Private
hv_00397,1,Public
hv_00400,1,Private
hv_00402,1,Private
hv_00404,0,Private
hv_00405,0,Private
hv_00406,1,Private
hv_00407,1,Public
hv_00408,0,Private
hv_00409,0,Public
hv_00414,1,Private
hv_00415,0,Private
hv_00416,0,Public
hv_00417,1,Public
hv_00418,0,Public
hv_00420,1,Private
hv_00421,1,Public
hv_00422,1,Private
hv_00424,0,Public
hv_00425,1,Public
hv_00426,0,Public
hv_00427,1,Public
hv_00429,0,Private
hv_00430,1,Private
hv_00431,0,Public
hv_00435,1,Public
hv_00436,1,Private
hv_00437,0,Public
hv_00438,0,Private
hv_00439,0,Public
hv_00440,1,Public
hv_00442,1,Private
hv_00443,0,Public
hv_00444,0,Public
hv_00445,1,Public
hv_00446,1,Public
hv_00447,0,Public
hv_00448,0,Public
hv_00450,1,Private
hv_00451,0,Public
hv_00452,0,Private
hv_00455,0,Public
hv_00456,1,Public
hv_00457,0,Public
hv_00460,0,Public
hv_00461,0,Public
hv_00463,0,Private
hv_00466,1,Private
hv_00467,0,Private
hv_00469,0,Private
hv_00470,1,Public
